asset_utilization	assets	book_value_per_share	cap_ex_percentage	cash_financing	cash_investing	cash_on_hand	cash_operations	current_ratio	debt_equity_ratio	expenses	free_cash_flow	gross_profit_margin	interest_expense_percentage	liabilities	long_term_debt	market_cap	net_income	period	price	price_to_book_value	quarter	retained_earnings_growth	return_on_equity	revenues	rownum	sga_percentage	shareholders_equity	symbol
1.7449	60.7600	2.5647	14.6465	-0.2600	-0.2900	19.8100	2.2800	2.2078	0.7420	31.4100	1.9900	23.0159	0.0000	25.8800	3.8800	65.9600	1.3500	11/2001	4.8500	1.8911	Q4-2001	-14.2226	11.1812	32.7600	5	31.2997	34.8800	CAMP
1.8003	56.6800	2.7612	25.0000	-0.1900	-0.6100	23.1500	3.9400	2.9541	0.5082	21.5300	3.6000	17.3333	0.0000	19.1000	3.6200	66.0085	0.9700	2/2002	4.8500	1.7565	Q1-2002	71.8196	11.8946	22.5000	6	25.6410	37.5800	CAMP
1.3149	77.8700	3.4254		11.8600	-16.4400	19.6000	1.0300	2.7975	0.6703	21.0100	1.1700	25.9786	0.0000	31.2500	14.9500	82.3405	1.4700	5/2002	6.0500	1.7662	Q2-2002	93.3121	12.5912	22.4800	7	30.4795	46.6200	CAMP
1.3061	80.6000	3.6856	19.6364	-0.2400	-0.5200	23.5000	4.6900	3.8266	0.4979	25.7100	4.1500	23.0657	0.0000	26.7900	14.1000	50.5160	1.8200	8/2002	3.4600	0.9388	Q3-2002	67.1856	10.4256	27.5300	8	28.1890	53.8100	CAMP
1.1101	86.9100	3.8784	18.3007	-0.2400	-0.3100	27.0400	4.0600	3.2857	0.5223	23.0700	3.7800	18.2311	0.0000	29.8200	13.4300	82.7264	0.9000	11/2002	5.6200	1.4491	Q4-2002	53.0381	9.0384	23.9700	9	31.3501	57.0900	CAMP
1.1168	89.5900	3.9823	48.8889	-0.2000	-0.6000	21.9400	-4.3100	2.8853	0.5283	25.1000	-4.9700	15.2282	0.0000	30.9700	12.5600	58.8800	0.9700	2/2003	4.0000	1.0044	Q1-2003	48.3599	8.8025	26.0700	10	35.2645	58.6200	CAMP
1.1946	80.4800	3.9076		-0.2400	-0.2700	21.8900	0.4700	4.1140	0.3990	19.6700	0.2000	7.0005		22.9500	11.8900	57.2608	-1.1000	5/2003	3.8900	0.9955	Q2-2003	21.3344	4.5028	18.5700	11	102.3077	57.5200	CAMP
1.0877	85.3300	3.9247	102.4390	-1.0400	-0.4200	23.0800	2.6400	3.1259	0.4738	23.8100	2.2200	13.2231	0.0000	27.4300	10.8300	61.0650	0.3900	8/2003	4.1400	1.0548	Q3-2003	8.3095	2.0038	24.2000	12	44.0625	57.8900	CAMP
1.2075	93.6600	4.1993	19.5822	-0.6700	-0.7500	25.2800	3.6200	2.7505	0.5119	40.8000	2.8700	15.2090	0.0000	31.7100	9.8700	144.4025	3.4500	11/2003	9.7900	2.3313	Q4-2003	24.9664	5.9897	44.2500	13	23.0312	61.9400	CAMP
1.3173	97.6400	4.4013		-1.7100	0.9500	22.8800	-1.6400	2.7404	0.4937	38.6300	-0.6900	15.4567	0.0000	32.2700	7.6900	218.2950	2.9700	2/2004	14.7000	3.3399	Q1-2004	36.1339	8.7362	41.6000	14	31.5708	65.3600	CAMP
0.8049	192.6400	6.4950	22.9358	-0.6800	-2.2300	23.6400	3.6700	2.2838	0.2823	43.6900	3.1700	18.4444	0.0000	42.4100	9.0700	173.4750	1.3100	5/2004	7.5000	1.1547	Q2-2004	55.1256	5.4050	45.0000	15	42.2892	150.2300	CAMP
