Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Inverness Med.,IMA,Medical Supplies,8060,NYS,$41.51,827378,78.4,"$3,572.90",1520.5,"$5,093.40","$4,950.30",$143.10,"$1,671.40","$1,899.40",NA,93.29,$0.84,49.42,NA,1.41,2.14,14.92,8.25,1.27,1.26,2.96,2.61,NA,NA,12.00%,94.90%,NA,1.05,0.41,NA,-$156.29,NA,NA,-47.10%,-0.86%,8.50%,-1.30%,19.85%,3904.8,"$2,527.40","$5,955.40",$333.60,$45.51,-$21.80,$331.80,$331.80,$599.70,$488.09,0.00%,19.96%,2.81%,8.56%,2.40%,$66.10,$267.90,$796.70,"$1,899.40",$38.30,$0.00,79.22%,4.78%,42.56%,29.85%,37.56%,0.00%,7.70%,86.21%
Investment Techn.,ITG,Securities Brokerage,6210,NYS,$19.70,569240,43.3,$867.10,119.4,$986.50,$560.30,$426.20,$763.00,$672.20,7.57,10.93,$1.85,10.65,1.51,1.10,1.14,2.18,1.80,1.17,1.09,0.73,0.83,12.00%,5.00%,4.50%,4.70%,1.18,1.15,0.26,0.4705,-$11.21,39.11%,0.00%,-7.44%,14.55%,31.35%,15.02%,33.68%,480.6,$787.40,"$1,685.50",-$141.10,$16.79,$114.60,$257.00,$150.69,$311.20,$161.90,41.37%,-18.49%,43.20%,55.86%,25.29%,$26.20,$54.20,$97.60,$672.20,$79.30,$0.00,26.99%,2.87%,13.77%,12.10%,13.17%,0.00%,1.90%,98.06%
Investors Bancorp Inc,ISBC,Thrift,6120,NDQ,$10.94,258854,114.7,"$1,252.60",0,"$1,252.60",$934.80,$317.80,NA,NA,NA,NA,NA,NA,NA,1.53,NA,4.85,4.85,1.86,1.53,NA,NA,NA,24.00%,NA,NA,0.83,0.7,0.33,0.3405,NA,32.89%,NA,NA,-7.92%,38.40%,NA,NA,501.5,$819.30,"$8,136.40",$0.00,NA,-$64.90,$192.60,$192.60,$192.60,NA,0.00%,NA,25.37%,NA,3.91%,$0.00,$0.00,$129.40,NA,-$59.90,$0.00,0.00%,0.54%,0.00%,0.00%,0.00%,0.00%,56.60%,25.88%
Investors Heritage Capital,IHRC,Insurance (Life),6310,NDQ,$17.50,355,1.1,$21.50,4.1,$25.60,$24.00,$1.60,NA,NA,12.65,NA,NA,NA,NA,0.48,NA,0.76,0.76,0.51,0.53,NA,NA,-10.00%,NA,NA,NA,0.48,0.55,0.28,0.3457,NA,25.46%,0.00%,NA,3.81%,51.16%,NA,NA,47.1,$44.60,$419.70,$0.00,NA,$1.70,$31.60,$24.09,$31.60,NA,23.75%,NA,6.25%,NA,0.38%,$0.50,$0.00,$0.00,NA,-$2.10,$0.00,0.00%,0.50%,19.07%,16.02%,8.42%,0.00%,NA,NA
Investors Title Co,ITIC,Financial Svcs. (Div.),6100,NDQ,$30.90,1971,2.3,$71.20,0,$71.20,$50.30,$20.90,NA,NA,NA,142.40,$2.31,13.38,NA,0.79,NA,NA,NA,0.73,0.79,NA,NA,-3.50%,4.00%,NA,NA,0.54,0.55,0.39,0.3064,NA,28.72%,NA,NA,-1.33%,NA,NA,NA,69,$89.90,$139.90,$0.00,NA,-$1.20,NA,NA,NA,NA,0.00%,NA,29.35%,NA,14.94%,$0.50,$0.00,$63.70,NA,$0.50,$0.14,0.00%,3.15%,0.00%,0.00%,0.00%,0.20%,NA,29.86%
INX Inc.,INXI,Computers/Peripherals,3573,NDQ,$5.94,13460,8.7,$55.20,0.4,$55.60,$44.70,$10.90,$259.20,$237.30,NA,NA,NA,NA,NA,1.64,0.21,8.76,5.73,1.94,1.64,0.17,0.19,NA,15.00%,NA,8.01%,0.94,1.05,0.53,0.9461,-$0.70,17.76%,NA,-34.10%,-12.50%,8.83%,-1.62%,1.97%,23.1,$33.60,$87.30,$3.50,-$0.30,-$4.20,$5.10,$2.04,$7.80,$2.74,60.00%,1.35%,19.60%,4.21%,12.49%,$2.30,$2.70,$48.70,$237.30,-$7.00,$0.00,16.72%,5.96%,0.72%,0.72%,1.18%,0.00%,NA,11.20%
ION Geophysical,IO,Oilfield Svcs/Equip.,3533,NYS,$5.92,1655918,98.8,$758.10,291.9,"$1,050.00","$1,014.80",$35.20,$679.50,$450.00,15.19,NA,$0.02,296.00,3.38,2.96,1.12,5.57,3.43,1.98,1.92,1.49,2.26,NA,4.50%,-2.50%,-9.47%,3.39,2.3,0.78,0.856,$165.77,42.99%,0.00%,117.50%,19.47%,27.50%,7.34%,26.80%,513,$256.30,$861.40,$270.40,-$91.33,$49.90,$182.10,$141.09,$295.70,-$24.69,22.52%,39.79%,3.35%,5.18%,4.09%,$370.70,$113.60,$154.80,$450.00,-$20.80,$0.00,18.25%,6.86%,38.50%,27.80%,53.25%,0.00%,12.40%,57.15%
Iowa First Bancshares Corp,IOFB,Bank,6000,NDQ,$21.50,1325,1.1,$23.90,38.1,$62.00,$45.90,$16.10,NA,NA,8.24,8.54,NA,NA,NA,0.82,NA,3.48,3.48,0.90,0.92,NA,NA,4.50%,NA,NA,NA,-0.14,0.45,0.26,0.1254,NA,57.42%,0.00%,NA,9.93%,18.04%,NA,NA,51.2,$29.20,$403.30,$0.00,NA,$2.90,$13.20,$9.24,$13.20,NA,30.01%,NA,25.97%,NA,3.99%,$0.00,$0.00,$6.90,NA,$2.80,$0.00,0.00%,0.00%,159.41%,61.45%,56.61%,0.00%,NA,1.73%
Iowa Telecom. Svcs.,IWA,Telecom. Services,4810,NYS,$16.76,394238,31.5,$558.90,529.2,"$1,088.10","$1,076.50",$11.60,$247.00,$253.40,24.19,32.68,$0.66,25.39,NA,2.76,2.26,8.67,6.05,1.49,1.49,4.36,4.25,NA,-6.00%,-2.00%,-1.95%,0.65,0.75,0.28,0.3556,-$26.06,33.75%,197.77%,-36.78%,11.41%,9.84%,9.35%,50.28%,720.1,$202.50,$859.90,-$21.70,-$0.56,$23.10,$124.20,$70.86,$177.90,$96.92,42.95%,-8.79%,1.07%,4.70%,1.35%,$28.20,$53.70,$44.70,$253.40,$17.10,$45.68,0.00%,33.82%,94.69%,48.64%,72.32%,8.17%,3.40%,54.19%
iParty Corp.,IPT,Internet,7370,AMS,$0.25,35240,22.7,$5.90,5.6,$11.50,$11.40,$0.10,$81.20,$77.90,NA,NA,NA,NA,NA,NA,0.07,4.75,2.59,NA,NA,0.14,0.15,NA,NA,NA,-0.84%,1.2,0.75,0.84,0.8229,-$1.64,14.58%,NA,-68.39%,NA,NA,-0.49%,2.96%,-4.6,-$10.10,$21.00,$8.40,-$0.34,-$0.40,$2.40,$2.40,$4.40,$4.04,0.00%,10.34%,0.87%,0.12%,0.48%,$0.70,$2.00,$34.00,$77.90,-$0.10,$0.00,10.95%,17.14%,94.92%,48.70%,NA,0.00%,NA,2.77%
iPass Inc,IPAS,Internet,7370,NDQ,$1.04,288177,61.3,$63.80,0,$63.80,-$4.60,$68.40,$191.40,$177.30,NA,NA,NA,NA,NA,0.71,0.33,NA,NA,-0.21,0.71,-0.02,-0.03,NA,NA,NA,0.72%,1.11,1,0.45,0.4808,-$5.37,33.28%,NA,-413.43%,-8.35%,6.07%,-3.92%,0.68%,21.4,$89.80,$125.30,$7.80,-$0.57,-$7.50,$1.30,$1.30,$10.70,$6.67,0.00%,4.08%,107.21%,35.74%,54.59%,$4.60,$9.40,$78.80,$177.30,-$10.70,$0.00,1.76%,5.75%,0.00%,0.00%,0.00%,0.00%,NA,53.11%
IPC Hldgs Ltd,IPCR,Reinsurance,6399,NDQ,$30.74,743637,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,$138.40,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
IPC The Hospitalist Co,IPCM,Medical Services,8000,NDQ,$33.25,142547,16.1,$527.00,8.9,$535.90,$498.50,$37.40,$251.20,$296.70,38.75,29.61,$1.13,29.42,1.63,4.29,2.10,20.26,18.67,5.28,4.07,1.98,1.68,NA,23.75%,NA,NA,NA,NA,0.42,NA,$5.41,NA,0.00%,36.07%,11.07%,15.90%,5.41%,9.79%,94.4,$122.90,$162.70,$33.20,$6.01,$13.60,$24.60,$15.01,$26.70,$9.59,39.00%,13.22%,6.98%,14.89%,22.99%,$1.50,$2.10,$44.70,$296.70,$17.80,$0.00,41.06%,1.54%,1.69%,1.66%,6.75%,0.00%,NA,98.27%
IPG Photonics Corporation,IPGP,Electronics,3670,NDQ,$16.73,181349,45,$755.30,39.1,$794.40,$743.10,$51.30,$229.10,$189.80,20.58,65.68,NA,NA,1.18,3.17,3.30,10.18,8.37,3.29,2.86,3.24,3.92,NA,17.50%,NA,18.83%,1.43,1.1,0.44,0.459,$3.84,38.34%,0.00%,7.73%,15.41%,21.96%,16.02%,31.86%,226,$238.20,$313.20,$101.80,-$17.46,$36.70,$73.00,$49.63,$88.80,$45.79,32.02%,44.43%,6.46%,22.39%,16.38%,$37.10,$15.80,$50.10,$189.80,$11.50,$0.00,0.00%,36.56%,5.18%,4.92%,14.10%,0.00%,NA,41.07%
iQ Power AG,IQPOF,Electrical Equipment,3600,NDQ,$0.10,5461,57.5,$5.80,3.5,$9.30,$8.60,$0.70,$0.10,NA,NA,NA,NA,NA,NA,2.07,58.00,NA,NA,1.54,1.48,86.00,NA,NA,NA,NA,28.60%,NA,0.9,0.90,NA,NA,NA,NA,NA,-335.71%,NA,-9400.00%,#VALUE!,5.6,$2.80,$8.60,$1.00,NA,-$9.40,NA,NA,NA,NA,0.00%,1000.00%,7.53%,700.00%,8.14%,$1.90,$0.70,$8.10,NA,NA,$0.00,0.00%,20.93%,60.34%,37.63%,55.56%,0.00%,NA,NA
IR BioSciences Holdings Inc,IRBS,Internet,7370,NDQ,$0.18,33378,12.3,$3.70,6.8,$10.50,$7.30,$3.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,-$4.20,$3.40,-$0.60,NA,-$5.60,NA,NA,NA,NA,0.00%,NA,30.48%,NA,94.12%,$0.00,$0.00,$5.00,NA,NA,$0.00,0.00%,0.00%,183.78%,64.76%,NA,0.00%,NA,0.07%
Iridex Corp,IRIX,Medical Supplies,8060,NDQ,$3.07,14023,8.8,$26.60,6,$32.60,$27.30,$5.30,$48.50,$43.80,NA,NA,NA,NA,NA,3.97,0.55,27.30,6.50,3.69,2.57,0.56,0.62,NA,NA,NA,-12.61%,2.12,1.1,0.81,0.9849,-$3.95,17.87%,NA,-394.97%,-117.91%,13.51%,-16.29%,2.06%,7.4,$6.70,$28.20,$9.80,-$0.95,-$7.90,$1.00,$1.00,$4.20,$4.95,0.00%,20.21%,16.26%,10.93%,18.79%,$0.20,$3.20,$21.90,$43.80,-$4.50,$0.00,5.32%,2.84%,22.56%,18.40%,47.24%,0.00%,NA,14.93%
Iridium Communications Inc,IRDM,Financial Svcs. (Div.),6100,AMS,$8.03,244718,48.5,$548.10,0,$548.10,$548.00,$0.10,NA,NA,171.28,NA,$1.12,7.17,NA,1.40,NA,NA,NA,1.40,1.40,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,0.00%,NA,0.82%,NA,NA,NA,390.2,$390.30,$403.10,-$1.60,NA,$3.20,NA,NA,NA,NA,40.68%,NA,0.02%,NA,0.02%,$0.00,$0.00,$0.00,NA,-$16.60,$0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NA,18.71%
Iris International Inc,IRIS,Medical Supplies,8060,NDQ,$12.36,83616,17.8,$204.50,0,$204.50,$177.90,$26.60,$95.50,$92.80,22.72,26.56,$0.40,30.90,1.20,2.69,2.14,13.28,11.19,3.61,2.69,1.86,1.92,38.50%,19.00%,NA,18.16%,1.19,0.65,0.24,0.5506,$0.39,18.89%,0.00%,4.21%,11.86%,18.92%,9.42%,14.03%,49.3,$75.90,$90.60,$25.00,-$0.71,$9.00,$13.40,$9.33,$15.90,$8.94,30.38%,26.18%,13.01%,27.85%,29.36%,$3.60,$2.50,$37.90,$92.80,$7.70,$0.00,4.42%,10.71%,0.00%,0.00%,0.00%,0.00%,NA,63.62%
iRobot Corp.,IRBT,Aerospace/Defense,3720,NDQ,$17.60,113700,24.8,$431.80,0,$431.80,$390.90,$40.90,$307.60,$287.50,539.75,119.94,$0.12,146.67,20.76,3.61,1.40,54.29,27.53,4.96,3.61,1.27,1.36,NA,26.00%,11.00%,21.92%,0.94,0.8,0.44,0.5086,$4.94,25.17%,0.00%,102.19%,0.67%,6.14%,0.26%,2.34%,78.8,$119.70,$163.70,$43.70,-$2.86,$0.80,$7.20,$4.84,$14.20,-$0.11,32.80%,14.21%,9.47%,13.30%,24.98%,$14.80,$7.00,$93.30,$287.50,$3.60,$0.00,5.93%,13.99%,0.00%,0.00%,0.00%,0.00%,24.70%,44.99%
Iron Mountain,IRM,Industrial Services,7300,NYS,$22.76,1606254,201.9,"$4,755.90",3243.3,"$7,999.20","$7,720.80",$278.40,"$3,055.10","$3,006.00",31.29,28.34,$1.05,21.68,2.16,2.64,1.56,9.76,7.14,1.62,1.59,2.53,2.57,29.00%,14.50%,5.00%,11.22%,1,0.95,0.31,0.3442,$95.93,44.16%,0.00%,20.27%,8.43%,9.93%,4.98%,25.88%,4767.7,"$1,802.80","$6,356.90",$4.20,-$0.07,$152.00,$790.80,$473.30,"$1,081.50",$377.37,40.15%,0.14%,3.48%,9.11%,4.38%,$386.70,$290.70,$882.40,"$3,006.00",$167.80,$0.00,45.56%,37.55%,68.20%,40.55%,64.27%,0.00%,11.50%,94.79%
Ironclad Performance wear Co.,ICPW,Apparel,2300,NDQ,$0.11,24510,42.8,$10.90,1.6,$12.50,$12.30,$0.20,$11.90,$12.60,NA,NA,NA,NA,NA,4.74,0.92,NA,NA,3.32,3.21,1.03,0.98,NA,NA,NA,-24.39%,NA,NA,0.74,NA,$0.10,NA,NA,NA,-108.70%,-56.83%,-21.01%,-17.67%,3.7,$2.30,$5.70,$3.40,$0.20,-$2.50,-$2.10,-$2.10,-$2.00,-$2.20,0.00%,28.57%,1.60%,1.68%,3.51%,$0.00,$0.10,$6.70,$12.60,-$1.90,$0.00,1.75%,3.51%,14.68%,12.80%,41.03%,0.00%,NA,NA
Ironstone Group Inc,IRNS,Financial Svcs. (Div.),6100,NDQ,$0.57,3831,0.7,$0.40,0.4,$0.80,$0.80,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,2.67,NA,NA,NA,NA,NA,NA,NA,0.25,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-$0.10,$0.30,$0.00,NA,-$0.10,NA,NA,NA,NA,0.00%,NA,0.00%,NA,0.00%,$0.00,$0.00,$0.10,NA,NA,$0.00,0.00%,0.00%,100.00%,50.00%,NA,0.00%,NA,NA
Irvine Sensors,IRSN,Electrical Equipment,3600,NDQ,$0.42,96785,3.6,$2.80,14.2,$17.00,$16.40,$0.60,$16.70,$11.30,NA,NA,NA,NA,NA,NA,0.17,NA,NA,3.22,2.98,0.98,1.45,NA,NA,NA,-64.83%,2.72,1.35,0.79,0.856,-$0.36,25.23%,NA,NA,NA,-95.81%,-76.65%,-29.26%,5.1,-$8.50,$22.90,-$2.60,$0.84,-$12.80,-$4.89,-$4.89,-$2.79,-$4.53,0.00%,-15.57%,3.53%,3.59%,2.62%,$0.90,$2.10,$10.40,$11.30,-$2.80,$0.00,3.49%,18.78%,507.14%,83.53%,NA,0.00%,NA,1.81%
Isabella Bank Corp,ISBA,Bank,6000,NDQ,$18.95,1303,7.5,$141.80,170.2,$312.00,$288.40,$23.60,NA,NA,34.59,19.97,NA,NA,NA,1.05,NA,8.93,8.93,1.03,1.02,NA,NA,-16.00%,NA,NA,NA,NA,0.4,0.29,NA,NA,NA,0.00%,NA,3.05%,11.49%,NA,NA,281.1,$134.50,"$1,139.30",$0.00,NA,$4.10,$32.30,$32.30,$32.30,NA,0.00%,NA,7.56%,NA,2.07%,$0.00,$0.00,$19.90,NA,$7.10,$0.00,4.20%,0.00%,120.03%,54.55%,55.86%,0.00%,NA,0.14%
ISCO International Inc,ISOOQ,Semiconductor,3674,NDQ,$0.00,707987,201.8,$2.20,15.9,$18.10,$16.30,$1.80,$9.60,NA,NA,NA,NA,NA,NA,0.48,0.23,NA,NA,0.87,0.88,1.70,NA,NA,NA,NA,-39.54%,NA,1.45,NA,NA,NA,NA,NA,NA,-139.13%,-28.34%,-66.67%,-55.20%,18.7,$4.60,$22.70,$3.50,NA,-$6.40,-$5.30,-$5.30,-$5.10,NA,0.00%,36.46%,9.94%,18.75%,7.93%,$0.10,$0.20,$9.20,NA,NA,$0.00,62.56%,2.20%,722.73%,87.85%,77.56%,0.00%,NA,0.02%
iSecureTrac Corp,ISEC,Electronics,3670,NDQ,$0.36,5896,10.8,$3.80,15.1,$18.90,$18.50,$0.40,$9.70,$9.70,NA,NA,NA,NA,NA,NA,0.39,NA,26.86,NA,NA,1.91,1.91,NA,NA,NA,12.01%,0.11,0.1,0.60,0.8478,$0.30,1.89%,NA,NA,NA,NA,-47.42%,-14.55%,-7,-$21.70,$9.80,$0.70,$0.00,-$4.60,-$1.41,-$1.41,$0.69,-$1.71,0.00%,7.22%,2.12%,4.12%,4.08%,$2.40,$2.10,$9.40,$9.70,-$4.60,$0.00,23.47%,42.86%,397.37%,79.89%,NA,0.00%,NA,NA
Isilon Systems Inc.,ISLN,Computers/Peripherals,3573,NDQ,$6.86,147891,63.9,$450.90,0,$450.90,$373.10,$77.80,$114.40,$118.20,NA,NA,NA,NA,NA,6.44,3.94,NA,NA,NA,NA,3.26,3.16,NA,NA,NA,26.58%,1.13,1.35,0.59,0.6032,$0.06,35.81%,NA,NA,-35.86%,NA,-21.94%,-17.85%,-7.8,$70.00,$120.20,-$7.10,-$0.24,-$25.10,-$20.42,-$20.42,-$14.12,-$20.48,0.00%,-6.21%,17.25%,68.01%,64.73%,$6.60,$6.30,$91.10,$118.20,-$22.00,$0.00,0.00%,9.40%,0.00%,0.00%,0.00%,0.00%,NA,37.32%
Isis Pharmac.,ISIS,Biotechnology,2830,NDQ,$11.11,909900,97.2,"$1,098.90",174.5,"$1,273.40",$782.40,$491.00,$107.20,$119.00,NA,7.21,NA,NA,NA,16.38,10.25,NA,1394.75,NA,NA,7.30,6.57,NA,NA,22.50%,38.23%,0.73,1,0.32,0.4514,-$3.59,35.45%,NA,NA,-17.88%,NA,-11.19%,-5.82%,-249.4,$67.10,$574.20,-$95.30,-$10.49,-$12.00,-$6.24,-$6.24,$0.56,-$2.65,0.00%,-88.90%,38.56%,458.02%,85.51%,$13.70,$6.80,$13.80,$119.00,$152.40,$0.00,5.76%,3.03%,15.88%,13.70%,72.23%,0.00%,2.80%,81.32%
Isle of Capri Casinos Inc,ISLE,Hotel/Gaming,7000,NDQ,$7.48,326053,31,$243.10,1301.1,"$1,544.20","$1,430.00",$114.20,"$1,118.60","$1,098.90",4.09,3.24,NA,NA,NA,1.06,0.22,2.68,2.16,1.01,1.01,1.28,1.30,-22.00%,NA,NA,-1.08%,2.66,2,0.75,0.9889,-$66.93,32.36%,0.00%,-12.54%,26.01%,37.70%,5.31%,47.70%,1415.3,$228.40,"$1,782.70",-$94.90,$1.67,$59.40,$533.60,$533.60,$660.80,$600.53,0.00%,-8.48%,7.40%,10.21%,6.41%,$58.60,$127.20,$304.50,"$1,098.90",$75.10,$0.00,22.25%,66.05%,535.21%,84.26%,85.07%,0.00%,NA,47.33%
Islet Holdings Inc,ISHI,Retail Store,5300,NDQ,$2.00,70207,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,0.3,0.96,2.5503,NA,1.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
Isomet Corp,IOMT,Electrical Equipment,3600,NDQ,$0.12,3859,0,$0.00,0,$0.00,$0.00,$0.00,NA,$3.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,1.49,0.4,0.84,2.0649,NA,3.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,$3.50,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
IsoRay Inc,ISR,Drug,2834,AMS,$0.89,125184,22.9,$20.40,0.4,$20.80,$16.10,$4.70,$5.40,$4.80,NA,NA,NA,NA,NA,2.04,3.78,NA,NA,2.82,2.00,2.98,3.35,NA,NA,NA,-24.26%,NA,1.25,0.89,NA,-$1.29,NA,NA,NA,-64.00%,-90.58%,-118.52%,-95.61%,5.7,$10.00,$11.70,$0.80,-$0.09,-$6.40,-$5.16,-$5.16,-$3.86,-$3.87,0.00%,14.81%,22.60%,87.04%,40.17%,$0.10,$1.30,$5.20,$4.80,-$4.90,$0.00,0.00%,41.88%,1.96%,1.92%,3.85%,0.00%,NA,1.28%
Isotechnika Pharma Inc,ISA.TO,Drug,2834,TSE,$0.17,136118,106.2,$15.90,15.7,$31.60,$5.90,$25.70,$4.70,$3.20,NA,NA,NA,NA,NA,1.66,3.38,NA,NA,NA,NA,1.26,1.84,NA,NA,NA,101.85%,1.25,0.85,0.46,0.4848,$0.27,28.05%,NA,NA,-201.04%,NA,-410.64%,-375.77%,-0.4,$9.60,$32.40,-$4.60,$1.47,-$19.30,-$17.66,-$17.66,-$16.36,-$17.93,0.00%,-97.87%,81.33%,546.81%,79.32%,$0.10,$1.30,$5.50,$3.20,-$11.20,$0.00,8.64%,9.88%,98.74%,49.68%,62.06%,0.00%,NA,NA
Isramco Inc.,ISRL,Petroleum (Producing),1300,NDQ,$71.50,2038,2.7,$195.90,146.1,$342.00,$338.90,$3.10,$52.20,$29.90,61.22,489.75,NA,NA,NA,7.84,3.75,11.26,6.96,2.02,2.00,6.49,11.33,35.00%,NA,NA,129.33%,0.55,0.6,0.74,1.2454,$79.42,7.71%,0.00%,294.65%,12.80%,16.04%,6.13%,57.66%,168,$25.00,$203.40,$2.30,-$0.98,$3.20,$30.10,$26.95,$48.70,-$52.46,10.46%,4.41%,0.91%,5.94%,1.52%,$99.00,$18.60,$2.70,$29.90,$0.40,$0.00,0.00%,80.73%,74.58%,42.72%,85.39%,0.00%,NA,4.08%
Ista Pharmaceuticals,ISTA,Biotechnology,2830,NDQ,$4.56,171326,33.1,$145.10,70.7,$215.80,$162.80,$53.00,$83.10,$110.40,NA,NA,NA,NA,NA,NA,1.75,NA,NA,325.60,4.03,1.96,1.47,NA,25.00%,NA,40.38%,0.65,1.2,0.81,0.9556,-$1.60,20.09%,NA,NA,NA,-4753.32%,-36.94%,-28.60%,0.5,-$17.20,$82.70,-$6.10,-$2.00,-$30.70,-$23.77,-$23.77,-$22.77,-$22.16,0.00%,-7.34%,24.56%,63.78%,64.09%,$1.40,$1.00,$85.90,$110.40,-$59.00,$0.00,0.00%,6.89%,48.73%,32.76%,NA,0.00%,NA,84.08%
iStar Financial Inc,SFI,R.E.I.T.,6720,NYS,$2.56,1646774,0,$0.00,0,$0.00,$0.00,$0.00,NA,"$1,170.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,2.75,1.7,0.73,1.1026,NA,24.67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,"$1,170.50",-$823.70,$0.00,NA,NA,NA,NA,NA,NA,NA,45.34%
ITC Deltacom,ITCD,Telecom. Services,4810,NDQ,$1.85,49290,79,$146.00,309.4,$455.40,$395.40,$60.00,$497.90,$479.80,NA,NA,NA,NA,NA,NA,0.29,4.83,2.55,1.67,1.53,0.79,0.82,NA,NA,NA,-14.10%,2.23,1.35,0.71,0.8264,-$7.83,26.14%,NA,-9.58%,NA,34.51%,-4.60%,16.43%,237,-$12.40,$382.70,-$23.80,$0.87,-$22.90,$81.80,$81.80,$155.30,$89.63,0.00%,-4.78%,13.18%,12.05%,15.68%,$64.80,$73.50,$183.10,$479.80,-$14.30,$0.00,10.43%,55.06%,211.92%,67.94%,NA,0.00%,NA,0.04%
ITC Holdings,ITC,Electric Util. (Central),4911,NYS,$52.09,432286,49.7,"$2,615.60",2248.3,"$4,863.90","$4,805.80",$58.10,$617.90,$616.50,23.95,21.04,$2.58,20.19,1.55,2.82,4.23,12.57,10.07,1.54,1.53,7.78,7.80,NA,15.50%,11.50%,25.29%,0.88,0.85,0.24,0.2671,$307.13,50.92%,482.01%,129.78%,11.75%,7.59%,17.67%,61.89%,3119.3,$929.10,"$3,714.60",-$57.10,$0.13,$109.20,$382.40,$236.65,$477.20,-$70.48,38.12%,-9.24%,1.19%,9.40%,1.56%,$401.80,$94.80,$0.00,$616.50,$124.30,$526.36,27.02%,62.04%,85.96%,46.22%,70.76%,20.12%,NA,95.39%
Iteration Energy Ltd.,ITXFF,Petroleum (Producing),1300,NDQ,$1.14,8359,166,$189.30,266.8,$456.10,$449.30,$6.80,$289.50,$192.00,NA,NA,NA,NA,NA,0.34,0.65,2.18,1.30,0.55,0.55,1.55,2.34,NA,NA,NA,51.90%,2.24,1.25,0.51,0.689,$83.26,29.03%,NA,40.36%,-36.43%,25.12%,-70.64%,71.26%,821.3,$561.30,"$1,035.20",-$16.20,$5.46,-$204.50,$206.30,$206.30,$345.60,$123.04,0.00%,-5.60%,1.49%,2.35%,0.66%,$217.10,$139.30,$10.20,$192.00,-$296.80,$0.00,0.00%,94.04%,140.94%,58.50%,32.22%,0.00%,NA,0.21%
