Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Cordia Corp,CORG,Computer Software/Svcs,3579,NDQ,$0.14,10789,6.3,$0.60,1.7,$2.30,$1.30,$1.00,$43.40,$41.70,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.03,0.03,NA,NA,NA,2.73%,0.58,0.7,0.58,0.7442,$0.10,15.05%,NA,NA,NA,NA,-8.76%,-5.39%,-3.3,-$4.00,$12.10,-$10.20,$0.40,-$3.80,-$2.34,-$2.34,-$1.14,-$2.44,0.00%,-23.50%,43.48%,2.30%,8.26%,$0.90,$1.20,$20.40,$41.70,-$3.80,$0.00,28.10%,19.83%,283.33%,73.91%,NA,0.00%,NA,NA
Core Laboratories,CLB,Oilfield Svcs/Equip.,3533,NYS,$118.12,268947,23,"$2,669.80",238.7,"$2,908.50","$2,872.40",$36.10,$780.80,$715.20,18.59,20.52,$4.75,24.87,2.19,16.88,3.42,12.25,11.21,7.96,7.33,3.68,4.02,57.50%,8.50%,6.50%,16.68%,0.8,1.2,0.33,0.3602,-$0.06,53.30%,8.64%,-0.04%,90.77%,44.72%,18.39%,30.02%,360.8,$158.20,$537.70,$110.20,-$9.26,$143.60,$234.40,$161.36,$256.20,$161.42,31.16%,14.11%,1.24%,4.62%,6.71%,$31.00,$21.80,$31.60,$715.20,$130.10,$12.40,28.94%,19.25%,8.94%,8.21%,60.14%,0.46%,4.50%,NA
Core Molding Technologies,CMT,Retail Store,5300,AMS,$2.87,14527,6.8,$18.60,15.2,$33.80,$33.80,$0.00,$116.70,$87.70,3.32,31.00,NA,NA,NA,0.64,0.16,2.66,2.09,0.76,0.76,0.29,0.39,63.50%,NA,NA,-5.47%,2.09,0.95,0.57,0.6574,$4.97,23.12%,0.00%,58.97%,19.31%,19.08%,4.80%,10.88%,44.2,$29.00,$73.80,$14.60,-$3.63,$5.60,$12.70,$8.43,$16.20,$3.46,33.61%,12.51%,0.00%,0.00%,0.00%,$12.10,$3.50,$11.50,$87.70,$0.60,$0.00,1.49%,52.57%,81.72%,44.97%,34.39%,0.00%,NA,42.65%
Core-Mark Holding Co. Inc,CORE,Retail/Wholesale Food,5400,NDQ,$32.96,54257,10.7,$331.20,48.6,$379.80,$352.70,$27.10,"$6,044.90","$6,371.90",18.50,7.17,$4.09,8.06,1.16,1.21,0.05,7.43,5.43,1.20,1.18,0.06,0.06,NA,16.00%,NA,5.66%,1.21,0.85,0.36,0.3717,$14.90,36.59%,0.00%,39.60%,6.54%,12.75%,0.30%,0.79%,295.1,$273.60,$612.60,$229.20,$12.40,$17.90,$47.50,$37.62,$64.90,$22.72,20.80%,3.79%,7.14%,0.45%,4.42%,$19.90,$17.40,$329.00,"$6,371.90",$46.20,$0.00,0.60%,12.11%,14.67%,12.80%,15.08%,0.00%,NA,76.51%
Corel Corp,CREL,Computer Software/Svcs,3579,NDQ,$3.97,30464,25.8,$101.70,157.9,$259.60,$209.30,$50.30,$268.20,$223.50,15.89,NA,$0.86,4.62,NA,NA,0.38,3.71,2.42,2.11,1.74,0.78,0.94,NA,NA,NA,5.57%,0.78,0.95,0.57,0.6049,-$16.85,25.13%,0.00%,-29.88%,NA,56.85%,2.39%,21.03%,99.2,-$8.40,$259.40,-$36.90,$6.15,$6.40,$56.40,$56.40,$86.50,$73.25,0.00%,-13.76%,19.38%,18.75%,19.39%,$7.10,$30.10,$154.30,$223.50,-$2.90,$0.00,57.59%,4.05%,155.26%,60.82%,NA,0.00%,NA,20.82%
Corfacts Inc,CFCC,Industrial Services,7300,NDQ,$0.01,5259,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
Corgi International Ltd,CRGIY,Machinery,3500,NDQ,$0.00,43377,12.8,$0.10,12.5,$12.60,$11.90,$0.70,$85.10,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,3.40,3.00,0.14,NA,NA,NA,NA,85.01%,0.88,0.35,NA,0.8955,NA,6.25%,NA,NA,NA,-897.68%,-43.48%,-36.92%,3.5,-$8.30,$36.40,-$15.60,NA,-$37.00,-$31.42,-$31.42,-$27.42,NA,0.00%,-18.33%,5.56%,0.82%,1.92%,$3.10,$4.00,$48.90,NA,NA,$0.00,29.40%,0.55%,12500.00%,99.21%,NA,0.00%,NA,9.85%
Corinthian Colleges,COCO,Educational Services,8299,NDQ,$13.77,2209692,87.1,"$1,180.80",28.6,"$1,209.40","$1,049.10",$160.30,"$1,307.80","$1,406.70",15.96,11.67,NA,NA,0.58,2.28,0.90,5.97,4.60,2.72,2.21,0.80,0.75,-4.50%,27.50%,11.50%,19.76%,0.17,0.75,0.26,0.587,-$6.62,20.44%,0.00%,-6.18%,14.29%,27.74%,5.66%,13.44%,386,$517.70,$798.90,-$51.80,-$3.92,$74.00,$175.80,$107.07,$228.00,$113.69,39.10%,-3.96%,13.25%,12.26%,20.07%,$49.50,$52.20,$430.50,"$1,406.70",$101.20,$0.00,28.20%,28.49%,2.42%,2.36%,5.24%,0.00%,3.50%,NA
Corn Products Int'l,CPO,Food Processing,2000,NYS,$29.23,729948,74.7,"$2,181.30",866,"$3,047.30","$2,940.30",$107.00,"$3,944.00","$3,613.30",8.17,15.26,$2.66,10.99,1.63,1.58,0.55,5.27,4.29,1.37,1.35,0.75,0.81,23.50%,5.00%,6.50%,14.94%,1.17,1.05,0.29,0.3681,$54.97,45.64%,49.53%,14.51%,19.29%,17.68%,6.77%,14.15%,2143,"$1,384.00","$3,207.00",$537.00,-$45.03,$267.00,$558.00,$378.89,$686.00,$323.91,32.10%,13.62%,3.51%,2.71%,3.34%,$228.00,$128.00,$275.00,"$3,613.30",$142.90,$132.24,11.19%,45.12%,39.70%,28.42%,38.49%,6.06%,3.10%,81.87%
Cornell Companies Inc,CRN,Industrial Services,7300,NYS,$22.70,98676,14.7,$326.40,320.5,$646.90,$632.30,$14.60,$386.70,$409.80,14.70,11.70,$1.63,13.93,1.47,1.43,0.84,7.89,6.45,1.18,1.18,1.64,1.54,16.00%,10.00%,NA,5.94%,0.67,0.8,0.29,0.3137,$64.82,40.80%,0.00%,136.70%,9.75%,8.89%,5.74%,20.71%,533.6,$227.70,$636.90,$47.20,$2.82,$22.20,$80.10,$47.42,$98.00,-$17.40,40.80%,12.21%,2.26%,3.78%,2.29%,$79.90,$17.90,$26.00,$409.80,$27.90,$0.00,2.45%,70.72%,98.19%,49.54%,58.46%,0.00%,NA,56.61%
